iter	Passed	Remaining
695	3952	1726
696	3956	1720
697	3961	1713
698	3965	1707
699	3970	1701
700	3975	1695
701	3980	1689
702	3985	1683
703	3990	1677
704	3995	1671
705	3999	1665
706	4004	1659
707	4008	1653
708	4013	1647
709	4017	1640
710	4021	1634
711	4026	1628
712	4031	1622
713	4035	1616
714	4040	1610
715	4044	1604
716	4049	1598
717	4054	1592
718	4059	1586
719	4063	1580
720	4068	1574
721	4073	1568
722	4077	1562
723	4081	1556
724	4087	1550
725	4091	1544
726	4096	1538
727	4100	1532
728	4105	1526
729	4109	1519
730	4114	1514
731	4118	1507
732	4123	1501
733	4127	1495
734	4132	1490
735	4137	1483
736	4142	1478
737	4146	1472
738	4151	1466
739	4155	1460
740	4160	1454
741	4164	1448
742	4168	1442
743	4173	1436
744	4177	1430
745	4182	1424
746	4186	1418
747	4191	1412
748	4195	1406
749	4200	1400
750	4204	1394
751	4209	1388
752	4213	1382
753	4217	1376
754	4222	1370
755	4227	1364
756	4232	1358
757	4240	1353
758	4245	1347
759	4249	1342
760	4254	1336
761	4258	1330
762	4263	1324
763	4267	1318
764	4271	1312
765	4276	1306
766	4280	1300
767	4285	1294
768	4290	1288
769	4294	1282
770	4298	1276
771	4303	1270
772	4307	1265
773	4312	1259
774	4316	1253
775	4321	1247
776	4325	1241
777	4330	1235
778	4335	1229
779	4339	1224
780	4344	1218
781	4349	1212
782	4353	1206
783	4358	1200
784	4362	1194
785	4367	1189
786	4371	1183
787	4376	1177
788	4380	1171
789	4385	1165
790	4389	1159
791	4393	1153
792	4398	1148
793	4402	1142
794	4407	1136
795	4411	1130
796	4416	1124
797	4420	1119
798	4425	1113
799	4430	1107
800	4434	1101
801	4439	1095
802	4443	1090
803	4448	1084
804	4452	1078
805	4457	1072
806	4462	1067
807	4467	1061
808	4472	1055
809	4476	1050
810	4481	1044
811	4485	1038
812	4490	1032
813	4495	1027
814	4499	1021
815	4504	1015
816	4508	1009
817	4513	1004
818	4518	998
819	4523	993
820	4529	987
821	4535	982
822	4540	976
823	4546	971
824	4550	965
825	4555	959
826	4560	953
827	4564	948
828	4569	942
829	4573	936
830	4578	931
831	4583	925
832	4587	919
833	4592	914
834	4596	908
835	4601	902
836	4606	897
837	4610	891
838	4615	885
839	4620	880
840	4624	874
841	4629	868
842	4634	863
843	4638	857
844	4643	851
845	4647	846
846	4652	840
847	4656	834
848	4661	829
849	4665	823
850	4670	817
851	4675	812
852	4679	806
853	4684	800
854	4688	795
855	4693	789
856	4697	783
857	4702	778
858	4707	772
859	4711	767
860	4716	761
861	4721	755
862	4725	750
863	4730	744
864	4735	738
865	4739	733
866	4743	727
867	4748	722
868	4752	716
869	4757	710
870	4761	705
871	4766	699
872	4771	694
873	4775	688
874	4780	682
875	4784	677
876	4789	671
877	4793	666
878	4798	660
879	4803	654
880	4808	649
881	4814	644
882	4819	638
883	4824	633
884	4828	627
885	4833	621
886	4838	616
887	4842	610
888	4847	605
889	4851	599
890	4856	594
891	4860	588
892	4865	582
893	4869	577
894	4874	571
895	4879	566
896	4883	560
897	4887	555
898	4892	549
899	4896	544
900	4901	538
901	4906	533
902	4910	527
903	4915	521
904	4919	516
905	4924	510
906	4928	505
907	4933	499
908	4937	494
909	4942	488
910	4947	483
911	4951	477
912	4956	472
913	4960	466
914	4965	461
915	4969	455
916	4974	450
917	4978	444
918	4983	439
919	4988	433
920	4992	428
921	4996	422
922	5001	417
923	5005	411
924	5010	406
925	5015	400
926	5019	395
927	5024	389
928	5029	384
929	5033	378
930	5038	373
931	5042	367
932	5047	362
933	5051	356
934	5056	351
935	5061	346
936	5065	340
937	5070	335
938	5074	329
939	5079	324
940	5083	318
941	5088	313
942	5093	307
943	5098	302
944	5102	296
945	5107	291
946	5111	286
947	5116	280
948	5121	275
949	5127	269
950	5132	264
951	5136	259
952	5141	253
953	5146	248
954	5150	242
955	5154	237
956	5159	231
957	5163	226
958	5168	220
959	5172	215
960	5177	210
961	5181	204
962	5186	199
963	5190	193
964	5195	188
965	5199	183
966	5204	177
967	5208	172
968	5212	166
969	5217	161
970	5222	155
971	5227	150
972	5231	145
973	5236	139
974	5240	134
975	5245	128
976	5249	123
977	5254	118
978	5259	112
979	5263	107
980	5268	102
981	5272	96
982	5277	91
983	5281	85
984	5286	80
985	5290	75
986	5295	69
987	5299	64
988	5304	58
989	5308	53
990	5313	48
991	5318	42
992	5323	37
993	5327	32
994	5332	26
995	5336	21
996	5341	16
997	5345	10
998	5350	5
999	5354	0
